,parte_quiz,diff_x,diff_y
0,adventurous,27.441465736,17.695
1,avoid,38.227036166,12.045
2,body-shape,77.859361476,21.1125
3,eyes,11.683067666,15.38
4,fit,19.703258227,10.865
5,focus,22.4714762,14.7275
6,footwear,21.370461411,26.357499999999998
7,hair,14.602905772,8.095
8,highlight,23.144904476,18.5425
9,leisure,15.66562,33.5975
10,measurements,16.819640571,21.659999999999997
11,photos,152.091960263,13.74
12,prices,14.484874428,12.01
13,register,,16.185
14,sizes,32.982596117,21.325
15,styles,64.356052894,25.755000000000003
16,work,13.358348695,24.8775
17,you,25.556772,18.77
