product_family_id,season,nivel,color_group,color_intensity,fit,size_lookiero
CARDIGAN,8,2,black,oscuro,straight,XL
CARDIGAN,8,2,black,oscuro,straight,M
CARDIGAN,8,2,black,oscuro,straight,S
CARDIGAN,8,2,brown,claro,straight,L
CARDIGAN,8,2,brown,oscuro,straight,S
CARDIGAN,8,2,brown,claro,straight,M
CARDIGAN,8,2,brown,oscuro,straight,L
CARDIGAN,8,2,brown,claro,straight,S
CARDIGAN,8,2,brown,oscuro,straight,M
CARDIGAN,8,2,brown,claro,straight,XL
CARDIGAN,8,2,brown,oscuro,straight,XL
CARDIGAN,8,2,brown,claro,straight,XS
CARDIGAN,8,2,brown,oscuro,straight,XS
CARDIGAN,8,2,black,oscuro,straight,XS
CARDIGAN,8,2,black,oscuro,straight,L
JEANS,7,1,red,intenso,tight,M
JEANS,7,1,red,intenso,tight,S
JEANS,7,1,red,intenso,tight,XL
JEANS,7,1,red,intenso,tight,XS
JEANS,7,1,red,intenso,tight,L
SWEATER,9,2,yellow,intenso,loose,M
SWEATER,9,2,brown,suave,loose,M
SWEATER,9,2,brown,suave,loose,XS
SWEATER,9,2,blue,oscuro,loose,XS
SWEATER,9,2,blue,oscuro,loose,L
SWEATER,9,2,yellow,intenso,loose,XL
SWEATER,9,2,blue,oscuro,loose,M
SWEATER,9,2,blue,oscuro,loose,S
SWEATER,9,2,blue,oscuro,loose,XL
SWEATER,9,2,yellow,intenso,loose,L
SWEATER,9,2,yellow,intenso,loose,XS
SWEATER,9,2,brown,suave,loose,S
SWEATER,9,2,yellow,intenso,loose,S
SWEATER,9,2,brown,suave,loose,L
SWEATER,9,2,brown,suave,loose,XL
JACKET,8,3,blue,oscuro,loose,S
JACKET,8,3,blue,oscuro,loose,XL
JACKET,8,3,blue,oscuro,loose,XS
JACKET,8,3,black,oscuro,loose,S
JACKET,8,3,black,oscuro,loose,XL
JACKET,8,3,blue,oscuro,loose,L
JACKET,8,3,blue,oscuro,loose,M
JACKET,8,3,black,oscuro,loose,XS
JACKET,8,3,black,oscuro,loose,L
JACKET,8,3,black,oscuro,loose,M
SHIRT,8,2,green,oscuro,loose,L
SHIRT,8,2,green,oscuro,loose,S
SHIRT,8,2,brown,claro,loose,L
SHIRT,8,2,brown,claro,loose,M
SHIRT,8,2,brown,claro,loose,S
SHIRT,8,2,green,oscuro,loose,M
PANT,9,1,black,oscuro,straight,XL
PANT,9,1,black,oscuro,straight,S
PANT,9,1,black,oscuro,straight,M
PANT,9,1,blue,oscuro,straight,L
PANT,9,1,grey,suave,straight,XXL
PANT,9,1,black,oscuro,straight,L
PANT,9,1,green,oscuro,straight,L
PANT,9,1,grey,suave,straight,M
PANT,9,1,grey,suave,straight,L
PANT,9,1,brown,oscuro,straight,S
PANT,9,1,brown,oscuro,straight,M
PANT,9,1,brown,oscuro,straight,L
PANT,9,1,brown,oscuro,straight,XL
PANT,9,1,green,oscuro,straight,M
PANT,9,1,green,oscuro,straight,S
PANT,9,1,brown,oscuro,straight,XXL
PANT,9,1,blue,oscuro,straight,XL
PANT,9,1,blue,oscuro,straight,XXL
PANT,9,1,blue,oscuro,straight,M
PANT,9,1,blue,oscuro,straight,S
PANT,9,1,grey,suave,straight,XL
PANT,9,1,black,oscuro,straight,XXL
PANT,9,1,grey,suave,straight,S
PANT,9,1,green,oscuro,straight,XL
PANT,9,1,green,oscuro,straight,XXL
TSHIRT,9,2,black,oscuro,straight,XXXL
TSHIRT,9,2,black,oscuro,straight,XL
TSHIRT,9,2,black,oscuro,straight,XXL
TSHIRT,9,2,black,oscuro,straight,L
TSHIRT,9,2,black,oscuro,straight,X4XL
TSHIRT,9,2,blue,oscuro,straight,XXL
TSHIRT,9,2,blue,oscuro,straight,L
TSHIRT,9,2,blue,oscuro,straight,X4XL
TSHIRT,9,2,blue,oscuro,straight,XL
TSHIRT,9,2,blue,oscuro,straight,XXXL
TOP,9,2,white,claro,straight,M
TOP,9,2,white,claro,straight,L
TOP,9,2,white,claro,straight,S
TOP,9,2,black,oscuro,straight,L
TOP,9,2,black,oscuro,straight,S
TOP,9,2,green,intenso,straight,S
TOP,9,2,black,oscuro,straight,M
TOP,9,2,green,intenso,straight,L
TOP,9,2,green,intenso,straight,M
SWEATSHIRT,7,2,brown,suave,straight,L
SWEATSHIRT,7,2,brown,suave,straight,M
SWEATSHIRT,7,2,brown,suave,straight,S
SWEATSHIRT,7,2,brown,suave,straight,XS
TOP,7,2,grey,oscuro,straight,M
TOP,7,2,grey,oscuro,straight,S
TOP,7,2,grey,oscuro,straight,L
TOP,7,2,grey,oscuro,straight,XS
TSHIRT,7,2,blue,oscuro,straight,L
TSHIRT,7,2,blue,oscuro,straight,M
TSHIRT,7,2,blue,oscuro,straight,S
TSHIRT,7,2,blue,oscuro,straight,XS
JACKET,7,3,black,oscuro,loose,L
JACKET,7,3,black,oscuro,loose,M
JACKET,7,3,black,oscuro,loose,S
JACKET,7,3,blue,oscuro,tight,L
JACKET,7,3,blue,oscuro,tight,X4XL
JACKET,7,3,blue,oscuro,tight,XL
JACKET,7,3,blue,oscuro,tight,XXL
JACKET,7,3,blue,oscuro,tight,XXXL
JEANS,9,1,white,claro,tight,M
JEANS,7,1,white,claro,tight,L
JEANS,9,1,white,claro,tight,L
JEANS,7,1,white,claro,tight,XS
JEANS,7,1,white,claro,tight,M
JEANS,9,1,white,claro,tight,S
JEANS,9,1,white,claro,tight,XS
JEANS,7,1,white,claro,tight,S
JEANS,7,1,white,claro,tight,XL
JEANS,9,1,white,claro,tight,XL
DRESS,9,1,blue,oscuro,tight,XXL
DRESS,9,1,blue,oscuro,tight,XL
DRESS,9,1,blue,oscuro,tight,S
DRESS,9,1,blue,oscuro,tight,L
DRESS,9,1,blue,oscuro,tight,M
DRESS,9,1,black,oscuro,loose,XS
DRESS,9,1,black,oscuro,loose,L
DRESS,9,1,black,oscuro,loose,M
DRESS,9,1,black,oscuro,loose,XL
DRESS,9,1,black,oscuro,loose,S
SHIRT,9,2,yellow,intenso,straight,XL
SHIRT,9,2,yellow,intenso,straight,M
SHIRT,9,2,yellow,intenso,straight,S
SHIRT,9,2,brown,suave,straight,M
SHIRT,9,2,brown,suave,straight,S
SHIRT,9,2,brown,suave,straight,XL
SHIRT,9,2,yellow,intenso,straight,L
SHIRT,9,2,brown,suave,straight,L
DRESS,9,1,green,intenso,straight,S
