product_family_id,season,nivel,color_group,color_intensity,fit,size_lookiero
CARDIGAN,8,2,black,oscuro,straight,XL
CARDIGAN,8,2,black,oscuro,straight,M
CARDIGAN,8,2,black,oscuro,straight,S
CARDIGAN,8,2,brown,claro,straight,L
CARDIGAN,8,2,brown,oscuro,straight,S
CARDIGAN,8,2,brown,claro,straight,M
CARDIGAN,8,2,brown,oscuro,straight,L
CARDIGAN,8,2,brown,claro,straight,S
CARDIGAN,8,2,brown,oscuro,straight,M
CARDIGAN,8,2,brown,claro,straight,XL
CARDIGAN,8,2,brown,oscuro,straight,XL
CARDIGAN,8,2,brown,claro,straight,XS
CARDIGAN,8,2,brown,oscuro,straight,XS
CARDIGAN,8,2,black,oscuro,straight,XS
CARDIGAN,8,2,black,oscuro,straight,L
JACKET,8,3,blue,oscuro,loose,S
JACKET,8,3,blue,oscuro,loose,XL
JACKET,8,3,blue,oscuro,loose,XS
JACKET,8,3,black,oscuro,loose,S
JACKET,8,3,black,oscuro,loose,XL
JACKET,8,3,blue,oscuro,loose,L
JACKET,8,3,blue,oscuro,loose,M
JACKET,8,3,black,oscuro,loose,XS
JACKET,8,3,black,oscuro,loose,L
JACKET,8,3,black,oscuro,loose,M
SHIRT,8,2,green,oscuro,loose,L
SHIRT,8,2,green,oscuro,loose,S
SHIRT,8,2,brown,claro,loose,L
SHIRT,8,2,brown,claro,loose,M
SHIRT,8,2,brown,claro,loose,S
SHIRT,8,2,green,oscuro,loose,M
SKIRT,8,1,pink,intenso,loose,M
SKIRT,8,1,pink,intenso,loose,XL
SKIRT,8,1,pink,intenso,loose,XS
SKIRT,8,1,pink,intenso,loose,S
SKIRT,8,1,brown,oscuro,loose,M
SKIRT,8,1,brown,oscuro,loose,XS
SKIRT,8,1,brown,oscuro,loose,S
SKIRT,8,1,brown,oscuro,loose,XL
SKIRT,8,1,pink,intenso,loose,L
SKIRT,8,1,brown,oscuro,loose,L
PANT,8,1,blue,oscuro,loose,L
PANT,8,1,blue,oscuro,loose,M
PANT,8,1,blue,oscuro,loose,S
JUMPSUIT,8,1,blue,oscuro,loose,L
JUMPSUIT,8,1,blue,oscuro,loose,M
JUMPSUIT,8,1,blue,oscuro,loose,S
DRESS,8,1,black,oscuro,loose,S
DRESS,8,1,black,oscuro,loose,L
DRESS,8,1,black,oscuro,loose,M
JACKET,8,3,green,intenso,straight,L
JACKET,8,3,green,intenso,straight,M
JACKET,8,3,green,intenso,straight,S
SWEATER,8,2,brown,claro,tight,M
SWEATER,8,2,brown,claro,tight,S
SWEATER,8,2,red,oscuro,tight,L
SWEATER,8,2,red,oscuro,tight,M
SWEATER,8,2,red,oscuro,tight,S
SWEATER,8,2,red,oscuro,tight,XL
SWEATER,8,2,brown,claro,tight,XL
SWEATER,8,2,brown,claro,tight,XS
SWEATER,8,2,red,oscuro,tight,XS
SWEATER,8,2,black,oscuro,tight,L
SWEATER,8,2,black,oscuro,tight,M
SWEATER,8,2,black,oscuro,tight,S
SWEATER,8,2,black,oscuro,tight,XL
SWEATER,8,2,black,oscuro,tight,XS
SWEATER,8,2,brown,claro,tight,L
PANT,8,1,blue,oscuro,tight,M
PANT,8,1,blue,oscuro,tight,S
PANT,8,1,blue,oscuro,tight,XXXL
PANT,8,1,blue,oscuro,tight,XS
PANT,8,1,blue,oscuro,tight,L
PANT,8,1,blue,oscuro,tight,XXL
PANT,8,1,blue,oscuro,tight,XL
DRESS,8,1,blue,oscuro,straight,XS
DRESS,8,1,brown,oscuro,straight,L
DRESS,8,1,brown,oscuro,straight,M
DRESS,8,1,blue,oscuro,straight,L
DRESS,8,1,blue,oscuro,straight,XL
DRESS,8,1,brown,oscuro,straight,XL
DRESS,8,1,brown,oscuro,straight,XS
DRESS,8,1,green,oscuro,straight,L
DRESS,8,1,green,oscuro,straight,M
DRESS,8,1,green,oscuro,straight,S
DRESS,8,1,green,oscuro,straight,XL
DRESS,8,1,green,oscuro,straight,XS
DRESS,8,1,brown,oscuro,straight,S
DRESS,8,1,blue,oscuro,straight,S
DRESS,8,1,blue,oscuro,straight,M
TSHIRT,8,2,yellow,intenso,straight,XS
TSHIRT,8,2,yellow,intenso,straight,S
TSHIRT,8,2,yellow,intenso,straight,M
TSHIRT,8,2,grey,oscuro,straight,XS
TSHIRT,8,2,grey,oscuro,straight,L
TSHIRT,8,2,grey,oscuro,straight,S
TSHIRT,8,2,yellow,intenso,straight,L
TSHIRT,8,2,grey,oscuro,straight,M
PARKA,8,3,pink,intenso,straight,S
PARKA,8,3,pink,intenso,straight,L
PARKA,8,3,pink,intenso,straight,M
PARKA,8,3,blue,oscuro,straight,L
PARKA,8,3,green,oscuro,straight,S
PARKA,8,3,blue,oscuro,straight,XS
PARKA,8,3,blue,oscuro,straight,XL
PARKA,8,3,green,oscuro,straight,L
PARKA,8,3,green,oscuro,straight,M
PARKA,8,3,green,oscuro,straight,XS
PARKA,8,3,green,oscuro,straight,XL
PARKA,8,3,pink,intenso,straight,XL
PARKA,8,3,pink,intenso,straight,XS
PARKA,8,3,blue,oscuro,straight,S
PARKA,8,3,blue,oscuro,straight,M
PARKA,8,3,black,oscuro,tight,XXL
PARKA,8,3,blue,oscuro,tight,XL
PARKA,8,3,blue,oscuro,tight,XS
PARKA,8,3,blue,oscuro,tight,XXL
PARKA,8,3,black,oscuro,tight,L
PARKA,8,3,black,oscuro,tight,M
PARKA,8,3,pink,intenso,tight,L
PARKA,8,3,black,oscuro,tight,S
PARKA,8,3,pink,intenso,tight,XS
PARKA,8,3,pink,intenso,tight,XL
PARKA,8,3,pink,intenso,tight,XXL
PARKA,8,3,pink,intenso,tight,S
PARKA,8,3,pink,intenso,tight,M
PARKA,8,3,blue,oscuro,tight,S
PARKA,8,3,blue,oscuro,tight,L
PARKA,8,3,blue,oscuro,tight,M
PARKA,8,3,black,oscuro,tight,XL
PARKA,8,3,black,oscuro,tight,XS
SKIRT,8,1,black,oscuro,tight,XXXL
SKIRT,8,1,black,oscuro,tight,XL
PARKA,8,3,green,oscuro,tight,XXXL
PARKA,8,3,red,oscuro,tight,XXXL
PARKA,8,3,green,oscuro,tight,XL
PARKA,8,3,red,oscuro,tight,XL
COAT,8,3,black,oscuro,straight,XXL
COAT,8,3,black,oscuro,straight,XL
COAT,8,3,black,oscuro,straight,M
COAT,8,3,black,oscuro,straight,L
